data;fase;views;likes;comentarios;compartilhamentos;tema
2024-03-27;filiacao;9300;389;144;0;Filiação ao Progressistas (PP)
2024-04-01;pre-campanha;7200;278;70;0;Sessão extraordinária (vereador)
2024-04-10;pre-campanha;2500;75;4;0;Sessão ordinária (vereador)
2024-04-17;pre-campanha;2300;100;5;0;Esclarecimentos sessão ordinária
2024-04-22;pre-campanha;1500;27;2;0;Sessão ordinária
2024-04-23;pre-campanha;5100;185;32;1;Viagem a Brasília, pleito de recursos
2024-04-24;pre-campanha;18900;567;101;0;Registro viagem a Brasília
2024-04-25;pre-campanha;9800;415;122;0;Repercussão pesquisa Aqui Notícias (Hugo Luiz lidera)
2024-05-01;pre-campanha;10500;415;122;0;Repost matéria pesquisa liderança
2024-05-06;pre-campanha;9500;415;122;0;Sessão ordinária / renovação do município
2024-05-08;pre-campanha;7700;225;30;0;Sessão ordinária
2024-05-12;pre-campanha;13000;300;31;0;Depoimento pessoal #juntossomosmaisfortes
2024-05-15;pre-campanha;655;37;0;0;Esclarecimentos sessão ordinária
2024-05-16;pre-campanha;7200;251;33;0;Reunião pré-candidatos PP/Republicanos
2024-05-22;pre-campanha;2900;35;4;0;Sessão ordinária
2024-05-29;pre-campanha;2900;121;4;1;Esclarecimentos sessão ordinária
2024-05-30;pre-campanha;10600;415;122;0;Feliz dia das mães
2024-06-04;pre-campanha;8800;31;4;0;Sessão ordinária
2024-06-05;pre-campanha;13000;300;31;0;Saudação semanal
2024-06-07;lancamento;11600;479;124;2;Lançamento da pré-candidatura (discurso)
2024-06-08;lancamento;6200;359;11;0;Lançamento da pré-candidatura (registro do evento)
2024-06-09;lancamento;9600;310;19;0;Alfredo Chaves merece liderança nova
2024-06-12;lancamento;8000;85;12;0;Repercussão na mídia do lançamento
2024-06-14;lancamento;900;85;6;0;Sessão ordinária
2024-06-19;lancamento;20600;260;38;0;Não acredite em conversa fiada
2024-06-20;lancamento;10700;91;12;0;Convite reunião com comerciantes
2024-06-26;lancamento;4300;174;16;0;Esclarecimentos sessão ordinária
2024-07-16;campanha;18400;306;60;0;Carreira baseada em fiscalização
2024-07-26;campanha;7000;194;35;0;Dia Mundial da Agricultura Familiar
2024-07-29;campanha;5100;418;12;1;49ª Festa da Banana e do Leite
2024-08-01;campanha;22300;313;37;0;Política bem feita atende a população
2024-08-02;campanha;7000;118;22;0;Convite convenção partidária
2024-08-03;campanha;11300;536;152;2;Anúncio do vice-prefeito Cleber Bianchi
2024-08-03;campanha;16100;207;22;0;Convite convenção partidária Progressistas
2024-08-06;campanha;6800;269;69;0;Convenção: "é ouro para Alfredo Chaves"
2024-08-29;campanha;33600;366;77;1;Apoio da bancada federal e estadual
2024-08-30;campanha;8300;184;22;0;Caminhada com o futuro
2024-08-31;campanha;9200;209;12;1;Caminhada de rua com bandeiras
2024-08-31;campanha;12000;477;44;10;Caminhada de rua (casal com bandeiras)
2024-08-31;campanha;9900;380;60;0;Progressistas (marca oficial do partido)
2024-08-31;campanha;7200;278;70;1;Assembleia já sabe o número (11)
2024-09-03;reta-final;15100;389;107;0;Deixa o menino trabalhar
2024-09-04;reta-final;10800;203;20;0;A alegria (vídeo comunidade)
2024-09-05;reta-final;4800;296;34;0;Feliz dia do irmão
2024-09-06;reta-final;9000;182;40;0;Repercussão pesquisa Instituto Veritá
2024-09-06;reta-final;8000;260;77;1;Dias para votar no prefeito mais jovem do ES
2024-09-07;reta-final;5500;80;15;0;Feliz 7 de Setembro
2024-09-08;reta-final;7100;136;1;0;Olá amigos de Alfredo
2024-09-09;reta-final;10300;140;10;0;Caminhada no Centro (convite)
2024-09-12;reta-final;9900;400;69;1;Aula de democracia e cidadania (idosos)
2024-09-13;reta-final;39400;280;31;1;Propostas de saúde alfredense
2024-09-13;reta-final;14000;446;32;2;Sexta de alegria (carreata)
2024-09-16;reta-final;11500;246;42;8;Coligação Renovação e Juventude
2024-09-17;reta-final;13700;206;45;1;Meu voto é secreto, mas haverá sinais
2024-09-18;reta-final;5300;82;0;0;Parabéns professores (2º lugar IDEB)
2024-09-19;reta-final;8900;278;52;0;Depoimento eleitor (Darli)
2024-09-22;reta-final;11500;257;31;4;Pesquisa suspensa (Instituto Direta)
2024-09-23;reta-final;9600;176;36;2;Depoimento Edimilson Bottechia
2024-09-24;reta-final;56500;678;60;14;Pesquisa: Boteccia 25,4% (2º), Boldrini 11,5% (3º)
2024-09-24;reta-final;8000;300;36;0;4 mil seguidores no Instagram
2024-09-25;reta-final;7600;207;8;12;Cobertura especial Eleições 2024 (pesquisa)
2024-09-25;reta-final;34300;452;39;1;Apoio do presidente da Assembleia Legislativa
2024-09-26;reta-final;13100;475;42;4;Discurso de rua "Eu tenho"
2024-09-27;reta-final;9500;189;9;2;Pesquisa estimulada: Hugo Luiz 51,2%
2024-09-27;reta-final;13000;128;6;0;Propostas de segurança pública
2024-09-29;reta-final;11500;133;8;2;Para votar 11 com pressão (contagem regressiva)
2024-10-01;reta-final;5700;110;9;8;5 dias para votar 11
2024-10-02;reta-final;11800;341;1;5;Caminhada bairro Santa Terezinha
2024-10-02;reta-final;10900;146;11;15;Candidatos a vereador do Republicanos
2024-10-02;reta-final;11600;151;5;10;Candidatos a vereador do Progressistas
2024-10-03;reta-final;15200;34;77;0;Matéria ES Agora: 67% acredita em vitória
2024-10-03;reta-final;11100;315;5;5;Bairro da Cachoeirinha
2024-10-04;reta-final;14800;376;12;8;Visitas Ipanema e Ouro Branco
2024-10-04;reta-final;31800;872;113;258;Muito obrigado por cada abraço (véspera)
2024-10-05;reta-final;17200;341;25;26;Nota de felicidade: amanhã é dia de mudar a história
2024-10-05;reta-final;12500;291;3;9;Último vídeo da campanha
2024-10-06;resultado;12700;446;21;12;Parabéns, prefeito eleito!
2024-10-06;resultado;41200;1218;106;158;Celebração nas ruas
2024-10-06;resultado;31000;1627;191;23;Muito obrigado pelos 5.779 votos
